Time,FlowEvap,KWPerTon,PerChilLoad,PerFreqFanA,PerFreqFanB,PerHumidity,PowChi,PowChiP,PowConP,PowFanA,PowFanB,PowIn,TempAmbient,TempCondIn,TempCondOut,TempEvapIn,TempEvapOut,TempWetbulb,Tons
2018-06-12 01:45:00,0.0018650119019999998,0.5027246737645756,0.42301690000000003,0.7983418,0.7983418,0.7246991,171200.0,17340.0,21790.0,4860.0,5060.0,220250.0,298.20253888888885,298.47999999999996,301.21,281.27,278.71,294.5393111111111,1197644.201861119
2018-06-12 01:50:00,0.0018570131415,0.5034155105627725,0.42000809999999994,0.8087884,0.8087884,0.7248164,170700.0,17190.0,21820.0,4970.0,4920.0,219600.0,298.20253888888885,298.53,301.25,281.28,278.71999999999997,294.50322777777774,1192507.682826239
2018-06-12 01:55:00,0.001859020455,0.5024708641292661,0.4031651,0.8087884,0.8087884,0.7285545,165900.0,17180.0,21730.0,5030.0,4860.0,214700.0,298.20253888888885,298.42999999999995,301.07,281.17999999999995,278.69,294.5293833333333,1161153.8293092002
2018-06-12 02:00:00,0.0018588269789999998,0.5051577242314241,0.4059864,0.7964967000000001,0.7964967000000001,0.7326914000000001,166100.0,17310.0,22060.0,4860.0,4890.0,215220.0,298.20253888888885,298.41999999999996,301.06,281.17999999999995,278.7,294.5345888888889,1156370.2001299197
2018-06-12 02:05:00,0.0018627890309999998,0.5002452720704742,0.4085255,0.7855856999999999,0.7855856999999999,0.7420366999999999,165500.0,17210.0,21970.0,4820.0,4720.0,214220.0,298.20253888888885,298.44,301.09,281.19,278.7,294.60108888888885,1163507.70144744
2018-06-12 02:10:00,0.0018591277080000001,0.5033504514281261,0.40802669999999996,0.7978539000000001,0.7978539000000001,0.744618,166200.0,17270.0,21760.0,5000.0,4900.0,215130.0,298.03459444444445,298.45,301.09,281.2,278.71,294.5416111111111,1161220.8200899202
2018-06-12 02:15:00,0.0018589089960000002,0.5025081188778641,0.41689279999999995,0.7875914,0.7875914,0.7487592,169900.0,17260.0,22180.0,4710.0,4760.0,218810.0,297.86078888888886,298.45,301.14,281.25,278.7,294.51882777777774,1189062.144244799
2018-06-12 02:20:00,0.0018576566594999996,0.4992725207501797,0.4222902,0.7990805999999999,0.7990805999999999,0.7523791,172000.0,17270.0,21930.0,4830.0,4840.0,220870.0,297.86078888888886,298.53,301.27,281.29999999999995,278.7,294.5497222222222,1211560.3166471997
2018-06-12 02:25:00,0.0018516631095,0.5045719323391759,0.4118102,0.7990805999999999,0.7990805999999999,0.7523791,168600.0,17280.0,21960.0,5090.0,4900.0,217830.0,297.86078888888886,298.46999999999997,301.14,281.22999999999996,278.7,294.53385555555553,1175137.6444011587
2018-06-12 02:30:00,0.001858444233,0.5052617613044152,0.40421149999999995,0.7888890000000001,0.7888890000000001,0.7571914,166100.0,17180.0,21810.0,4860.0,4880.0,214830.0,297.86078888888886,298.44,301.08,281.17999999999995,278.7,294.5240055555555,1156132.0950918396
2018-06-12 02:35:00,0.0018649246275,0.5031096295399954,0.4079697,0.7888890000000001,0.7888890000000001,0.7610788,165300.0,17310.0,21720.0,4630.0,4710.0,213670.0,297.68978888888887,298.42999999999995,301.07,281.17999999999995,278.71,294.4744611111111,1155485.4486317993
2018-06-12 02:40:00,0.001854040551,0.5001762164541822,0.4054544,0.8003171,0.8003171,0.7653180999999999,164700.0,17120.0,21970.0,4610.0,4660.0,213060.0,297.68978888888887,298.39,301.03,281.16999999999996,278.67999999999995,294.48445555555554,1158043.35541224
2018-06-12 02:45:00,0.0018633032144999998,0.5041566792904836,0.40424509999999997,0.7901956,0.7901956,0.7674342,165500.0,17230.0,22180.0,4530.0,4540.0,213980.0,297.68978888888887,298.42999999999995,301.06,281.17999999999995,278.71,294.5082333333333,1154480.8401344393
2018-06-12 02:50:00,0.0018483309059999997,0.5083904654050136,0.41112909999999997,0.7901956,0.7901956,0.7694719000000001,168900.0,17200.0,21860.0,4890.0,4850.0,217700.0,297.68978888888887,298.44,301.12,281.22999999999996,278.71,294.5368444444444,1168386.4439251188
2018-06-12 02:55:00,0.0018531856815000001,0.5058758747542392,0.41210050000000004,0.7901956,0.7901956,0.7694719000000001,166500.0,17300.0,22040.0,4740.0,4800.0,215380.0,297.68978888888887,298.46999999999997,301.14,281.2,278.71,294.5327611111111,1157509.3994835597
2018-06-12 03:00:00,0.001851739869,0.5032301897381085,0.40230530000000003,0.7901956,0.7901956,0.7712604000000001,165500.0,17260.0,22230.0,4590.0,4700.0,214280.0,297.5218777777778,298.45,301.09,281.19,278.7,294.5263722222222,1156606.3374885598
2018-06-12 03:05:00,0.0018638720759999998,0.5067436093494515,0.40725700000000004,0.7901956,0.7901956,0.775177,166400.0,17180.0,21630.0,4710.0,4790.0,214710.0,297.5218777777778,298.4,301.07,281.19,278.71999999999997,294.49297777777775,1154833.3000547192
2018-06-12 03:10:00,0.0018568280775,0.4998855802942088,0.4125948,0.7901956,0.7901956,0.7796581,167500.0,17070.0,22000.0,4730.0,4720.0,216020.0,297.3458611111111,298.41999999999996,301.09,281.21,278.67999999999995,294.4631222222222,1178415.5345842007
2018-06-12 03:15:00,0.001849573779,0.5051395140912623,0.4083448,0.7901956,0.7901956,0.7833624,166600.0,17230.0,22090.0,4780.0,4830.0,215530.0,297.3458611111111,298.42999999999995,301.09,281.2,278.7,294.4804555555555,1159892.9582600002
2018-06-12 03:20:00,0.0018642285344999997,0.4939163605388818,0.42476970000000003,0.7901956,0.7901956,0.7924540999999999,170100.0,17380.0,22010.0,4900.0,4700.0,219090.0,297.1797555555555,298.45,301.16999999999996,281.26,278.66999999999996,294.4739111111111,1211170.1490254793
2018-06-12 03:25:00,0.0018614504714999998,0.5042347602040478,0.4053381,0.7901956,0.7901956,0.7939951,166700.0,17320.0,21900.0,4810.0,4850.0,215580.0,297.1797555555555,298.42999999999995,301.08,281.19,278.7,294.4706722222222,1162671.6302331598
2018-06-12 03:30:00,0.001864759542,0.4997166576356846,0.40421349999999995,0.7901956,0.7901956,0.7990598,165500.0,17260.0,22000.0,4540.0,4760.0,214060.0,297.1797555555555,298.46,301.09,281.19,278.7,294.5295111111111,1164738.49285008
2018-06-12 03:35:00,0.0018535074405,0.5095608879048049,0.4012082,0.7901956,0.7901956,0.7975434,163700.0,17290.0,21940.0,4680.0,4510.0,212120.0,297.1797555555555,298.46,301.04999999999995,281.15,278.71999999999997,294.57616666666667,1129813.7363600389
2018-06-12 03:40:00,0.001866698508,0.5046747536994853,0.40521630000000003,0.7798906999999999,0.7798906999999999,0.7975434,165300.0,17200.0,22120.0,4630.0,4660.0,213910.0,297.1797555555555,298.47999999999996,301.09,281.19,278.72999999999996,294.58286666666663,1151901.9957676812
2018-06-12 03:45:00,0.0018702189299999999,0.4993697228064194,0.41966859999999995,0.7900824,0.7900824,0.7991923,169200.0,17330.0,21980.0,4610.0,4740.0,217860.0,297.1797555555555,298.52,301.21999999999997,281.26,278.71999999999997,294.5146888888889,1191605.251227199
2018-06-12 03:50:00,0.001855123596,0.5018617773001475,0.4185825999999999,0.7900824,0.7900824,0.8046558,170000.0,17280.0,22070.0,4790.0,4840.0,218980.0,297.1797555555555,298.52,301.22999999999996,281.26,278.7,294.5205888888889,1191294.2840217592
2018-06-12 03:55:00,0.001852808193,0.5008127898323921,0.4023596,0.7900824,0.7900824,0.8100809,164800.0,17190.0,21780.0,4570.0,4780.0,213120.0,297.0147222222222,298.46999999999997,301.08,281.16999999999996,278.67999999999995,294.5829166666666,1157273.6182063196
2018-06-12 04:00:00,0.0018574663380000003,0.509096066635886,0.3983952,0.7900824,0.7900824,0.8100809,163900.0,17220.0,21950.0,4530.0,4720.0,212320.0,297.0147222222222,298.46,301.06,281.15,278.71999999999997,294.5692055555555,1132226.9000078386
